Athlete,Year,Team,Time,Wind,Year_next_year,Next Year Time,Predicted
"Williams, Darien",FR-1,Penn State,11.0,-0.5,SO-2,10.82,10.82
"Ollivierre , Ronnie",JR-3,UT-Rio Grande Valley,11.0,1.0,SR-4,10.69,10.69
"Wassell, Kahlil",FR-1,Harvard,11.0,1.0,SO-2,11.08,11.08
"Hagen, Stephen",JR-3,Michigan,11.0,0.4,JR-3,10.78,10.78
"Allen, Asa",JR-3,UC Irvine,11.0,1.8,SR-4,11.14,11.14
"Thomas, Yohance",JR-3,South Carolina,11.01,0.9,SR-4,10.92,10.92
"Ashley, Timothy",SO-2,Florida A&M,11.01,-0.3,JR-3,10.6,10.6
"Henderson, Kwesi",SO-2,LIU Brooklyn,11.01,2.9,JR-3,10.96,10.955
"Bartee, Carlous",FR-1,Savannah State,11.01,1.1,SO-2,10.67,10.67
"Gomez, Rico",JR-3,George Mason,11.01,1.0,SR-4,10.62,10.62
"Tankeh, Charles",FR-1,Hartford,11.02,0.9,SO-2,11.02,11.02
"Pyle, Tom",JR-3,Kansas State,11.02,0.2,SR-4,10.73,10.73
"Coleman, Harrison",SO-2,New Orleans,11.02,1.5,SO-2,11.05,11.05
"Peeples, Nick",FR-1,Davidson,11.02,1.2,SO-2,10.88,10.88
"Solis, Gerom",SO-2,Iona,11.02,2.9,JR-3,10.95,10.955
"Blocker, Dan",FR-1,Northern Iowa,11.02,3.2,SO-2,11.05,11.05
"Pontious, Reece",JR-3,Air Force,11.03,0.0,SR-4,10.64,10.64
"Ayhan, Ekrem",FR-1,Yale,11.03,1.2,SO-2,10.99,10.99
"Wilburgh, Husani",FR-1,FIU,11.04,3.4,SO-2,10.86,10.86
"Fortin, Garrett",SO-2,Holy Cross,11.04,3.7,JR-3,11.04,11.04
"Booth, Aaron",SO-2,Kansas State,11.04,3.1,JR-3,10.95,10.95
"Langdon, Connor",SO-2,Coastal Carolina,11.04,3.0,JR-3,11.14,11.14
"Toles, Jaetavian",FR-1,Tulane,11.05,0.3,SO-2,11.05,11.05
"Manigault , Tyler",FR-1,Western Carolina,11.06,3.4,SO-2,10.88,10.88
"Obiajulu, Vincent",SO-2,Cal Poly,11.06,0.7,JR-3,10.92,10.92
"Howard , Parker",FR-1,South Carolina,11.06,1.7,SO-2,10.92,10.92
"Williams, Harrison",JR-3,Stanford,11.06,1.5,SR-4,10.88,10.88
"Alston, Cory",SO-2,Western Carolina,11.06,1.9,JR-3,10.74,10.74
"Anderson, Joseph",FR-1,Oregon,11.07,0.9,SO-2,10.88,10.88
"King, Adrian",JR-3,Grand Canyon,11.07,-0.6,SR-4,10.89,10.89
"Cunningham, Cody",JR-3,Baylor,11.07,0.0,SR-4,11.12,11.12
"Boggs, Brandon",FR-1,Manhattan,11.08,2.9,SO-2,11.06,11.06
"Papper, Michael",SO-2,Loyola (Ill.),11.08,1.9,JR-3,11.11,11.11
"Stone, Chris",SO-2,Auburn,11.08,1.1,JR-3,11.14,11.14
"Nytes, Trent",JR-3,Wisconsin,11.08,1.6,SR-4,10.98,10.98
"Agyei, Junias",SO-2,George Mason,11.09,-1.1,JR-3,10.97,10.97
"Wise, Darius",FR-1,Central Connecticut,11.09,0.1,SO-2,10.86,10.86
"Mfikwa, Xavier",FR-1,N.C. Central,11.09,1.1,SO-2,11.11,11.11
"Romero , Pablo",SO-2,High Point,11.1,2.3,JR-3,10.92,10.92
"Robinson, Donte",JR-3,Portland State,11.11,2.8,SR-4,11.14,11.14
"Norris, Isaiah",SO-2,Hampton,11.11,3.1,JR-3,11.09,11.09
"Litherland, Quinn",FR-1,Northeastern,11.12,3.4,JR-3,11.01,11.01
"Ose, Benjamin",JR-3,Dartmouth,11.12,0.2,SR-4,11.0,11.0
"West, Justin",JR-3,VCU,11.13,-0.1,SR-4,11.11,11.11
"McFadden, Christian",SO-2,Saint Francis University,11.13,3.0,JR-3,10.77,10.77
"Gabor, Christopher",JR-3,Mount St. Mary's,11.14,1.4,SR-4,11.03,11.03
"Fye-Moore, Miles",FR-1,Central Connecticut,11.14,0.1,SO-2,10.77,10.77
"Brown, Denzell",FR-1,Georgetown,11.14,3.7,SO-2,11.14,11.14
"Noble, Nathan",JR-3,UC Riverside,11.15,3.8,SR-4,10.98,10.98
"Solomon, Matt",FR-1,Lehigh,11.15,1.1,SO-2,11.08,11.08
"Miller, Eric",JR-3,Grand Canyon,11.15,1.2,SR-4,10.85,10.85
"Collerton, Ben",SO-2,Texas State,11.15,3.0,JR-3,11.09,11.09
"Batler, Phillip",SO-2,Brown,11.16,-0.2,JR-3,11.11,11.11
"Rodgers, Nathan",JR-3,UNCW,11.16,0.1,SR-4,11.11,11.11
"Corley, Austin",JR-3,Wichita State,11.16,-1.3,SR-4,10.6,10.6
"Bethea, Devin",JR-3,VCU,11.16,1.5,SR-4,11.04,11.04
"Jackson, Emmanuel",JR-3,Virginia,11.16,-1.2,SR-4,10.97,10.97
"Nainggolan, Jonathan",SO-2,Navy,11.17,1.7,JR-3,10.95,10.95
"Harrison, Cole",FR-1,Eastern Washington,11.17,3.0,SO-2,11.04,11.04
"Mastrangeli, Kyle",SO-2,DePaul,11.18,2.1,JR-3,11.06,11.06
"Douglas, Andre",FR-1,UTSA,11.18,3.8,SO-2,11.1,11.1
"Hammond, Kameron",SO-2,South Carolina St.,11.19,2.3,JR-3,10.95,10.95
"Williams, Levi",FR-1,High Point,11.19,-1.8,SO-2,10.85,10.85
"Williams, Kendal",SO-2,Georgia,9.99,2.1,JR-3,9.99,9.99
"Bacon, Jaylen",JR-3,Arkansas State,10.0,2.0,SR-4,9.99,9.99
"Willis, Maxwell",FR-1,Baylor,10.03,3.8,SO-2,10.12,10.12
"Charleston, Cravont",FR-1,North Carolina St.,10.07,2.6,SO-2,10.21,10.21
"Oduduru, Divine",FR-1,Texas Tech,10.1,3.0,SO-2,10.1,10.1
"Greene, Cejhae",JR-3,Georgia,10.1,1.6,SR-4,10.14,10.14
"Burke, Mario",SO-2,Houston,10.17,2.7,JR-3,10.13,10.13
"DeMoss, Davon",SO-2,Memphis,10.17,3.0,JR-3,10.32,10.32
"Morris, Julius",JR-3,Western Kentucky,10.18,1.0,SR-4,10.12,10.12
"Miller, Jalen",JR-3,TCU,10.19,2.7,SR-4,10.29,10.29
